"ID","CODE","TYPE","LANGUAGE","CLASSIFIER","LABEL"
"53b4a5ec-4451-42ae-9e90-4b4c79670e5e",15057,"AVAM","de","f","Kulturwissenschafterin"
"0d4bc50c-93a9-4c72-b85a-2f24bd07ab1e",15058,"AVAM","de","f","Social Media Managerin"
"db6fc9ef-3d10-4f6b-967a-6be67ff92e11",15059,"AVAM","de","f","CNC Abkanterin"
"996ba487-c6c7-48d3-a9dc-2fe9605eb735",15060,"AVAM","de","f","Wanderleiterin mit eidg. Fachausweis"
"848c77a9-0d73-4e76-a912-c68a3656fe1a",15061,"AVAM","de","f","Prozessfachfrau"
"886b4d36-9495-4550-88ba-9db30b9c3e43",15062,"AVAM","de","f","Assistentin Gesundheit und Soziales EBA"
"176fc0a0-cee6-4d50-b392-c0600dd8694c",15063,"AVAM","de","f","Fleischfachfrau EFZ"
"27e70480-74bb-4346-b2d5-6e5a69c03319",15064,"AVAM","de","f","Lohnbuchhalterin"
"b1c5b9ff-0170-41ec-9b20-a2c421f71456",15065,"AVAM","de","f","Case Managerin (Versicherung)"
"643ecb47-91f7-484c-9776-b0605859e340",15066,"AVAM","de","f","Case Managerin (psycho-sozialer Bereich)"
"9de5d1fb-d9c1-4aec-a91a-72c241c64d3b",15067,"AVAM","de","f","Militärpolizistin"
"cc697f16-5b7e-499b-bfde-f618d38c8099",15068,"AVAM","de","f","Autoaufbereiterin"
"30985176-aca7-41b6-8598-b890f1756993",15069,"AVAM","de","f","Barista"
"a7d24381-89ce-452a-bf42-f5f014132d87",15070,"AVAM","de","f","Strassentransportfachfrau EFZ"
"9043a36c-5286-4ee6-8570-662a7ea9ff22",15071,"AVAM","de","f","Printmedienpraktikerin EBA"
"4ff979d1-1987-446c-b434-a8158679ecaa",15072,"AVAM","de","f","Automatikmonteurin EFZ"
"14a558ad-99cb-4139-952a-2ba66f0da26f",15073,"AVAM","de","f","Produktionsmechanikerin EFZ"
"9e56d1df-1675-43f5-baf2-7064c082a517",15074,"AVAM","de","f","Bäckerin-Konditorin-Confiseurin EBA"
"50e118e8-5655-4864-91c1-3b1368eb88b9",15075,"AVAM","de","f","Informatikerin EFZ"
"6eaecc5b-cb52-479f-a803-9c1d07c482c2",15076,"AVAM","de","f","Wirtschaftsinformatikerin FH"
"755cd5b3-99f4-48f5-bf87-efffadee07dc",15077,"AVAM","de","f","Application Engineer"
"27803543-064c-4040-a1f8-03208427551f",15078,"AVAM","de","f","Webentwicklerin"
"289baf6c-f152-41fb-8aea-bf85eef15db0",15080,"AVAM","de","f","Etagengouvernante"
"216c5308-ddeb-4435-9cf3-dddf166d0e01",15082,"AVAM","de","f","Sales Manager"
"de6c28d5-a132-4bab-8241-f33025cace28",15083,"AVAM","de","f","Pflegefachfrau FH"
"9aa0784e-ffdf-412b-9b99-fd44150bf516",15084,"AVAM","de","f","Rettungssanitäterin HF"
"f087cbcd-d36c-4afe-bc8b-1b2469f0b5b2",15085,"AVAM","de","f","Fachfrau Operationstechnik FH"
"772acab0-b611-4c5b-8bb4-3812be48198a",15086,"AVAM","de","f","Pflegefachfrau HF"
"f2ca46e1-f9cf-4c8e-bc24-abc8880f8ad9",15087,"AVAM","de","f","Business Analystin"
"fe9e3ea5-0726-4901-bdeb-6ab865a8259d",15088,"AVAM","de","f","Innendienstverkäuferin"
"ad882af9-b993-482f-a001-ce3559e5a73a",15089,"AVAM","de","f","Aussendienstverkäuferin"
"059dca47-0f5a-4bd6-b480-beba64486d13",15090,"AVAM","de","f","Sachbearbeiterin Marketing"
"b6c7a023-9876-4703-97d4-966b30aac664",15091,"AVAM","de","f","Technische Redaktorin"
"ebe450c7-8076-44ab-baa4-5c530924990e",15092,"AVAM","de","f","Sportpsychologin"
"069cf813-1641-4c1a-a422-21e3a195e683",15093,"AVAM","de","f","Ärztin, Traditionelle Chinesische Medizin"
"aed36cd2-84b6-4576-842f-5b978ad6a06d",15094,"AVAM","de","f","Sportphysiotherapeutin"
"f26654bd-5591-45fa-a1ce-1b2e1d9d06d2",15096,"AVAM","de","f","Rohrnetzmonteurin"
"453fa3de-dbd6-4d5b-adc3-ddd63a23b554",15097,"AVAM","de","f","Bewegungswissenschafterin"
"a579a3b5-bf23-4bdd-86a5-a82671ee3d2a",15098,"AVAM","de","f","Kanalreinigerin"
"dcc32690-c621-48f5-b482-3702bebba145",15099,"AVAM","de","f","Gemeindearbeiterin"
"5971b035-7b6f-4d81-8ea9-41dbad7813da",15100,"AVAM","de","f","Landwirtschaftliche Mitarbeiterin"
"ffebbfba-36e6-4ebb-9a9d-bb0902a5863a",15101,"AVAM","de","f","Magd"
"479f2bef-4232-4bf8-b68d-9ae7428a8d9d",15102,"AVAM","de","f","Applikations-Managerin"
"369699d1-1eaa-4e1c-9cd3-5d6845dbb6e4",15103,"AVAM","de","f","Datenbank-Administratorin"
"87b85527-2e8a-4aa3-b306-0fb67a4bcb63",15104,"AVAM","de","f","Meistergehilfin, landwirtschaftliche Vorarbeiterin"
"0e34242b-4533-4f47-b93f-8a2907e2829d",15105,"AVAM","de","f","Melkerin"
