"ID","AVAM_CODE","X28_CODE"
"117cdf6d-31d8-40e0-b21b-2cfd7a615443","68143","11000002"
"c0cc4dd5-b25f-4566-b0e7-af4482f8fb01","68108","11000004"
"a968e9d6-b1f8-46d2-acda-1a6e7a03bfa0","68070","11000008"
"cdc8806b-6f01-49d1-9cfd-7449b3b44202","68082","11000009"
"3b615d11-7de3-4a54-ad88-7e5355829bb3","68107","11000011"
"22c2f08b-0410-42aa-9b8f-58b11507fadc","68011","11000013"
"430171de-3677-44e4-8790-5ed067a12831","67007","11000014"
"3d34b092-94c1-4600-97f7-f61b616d46b3","69101","11000015"
"6c150042-f6ae-4bbc-9cdb-48043950743c","68070","11000016"
"c7f2eae5-d6d0-49b0-bfab-6570be0cd8a1","68044","11000017"
"01510c8c-1354-496c-a554-ea4228b2f947","68111","11000018"
"a71d143b-7533-45a2-9b27-a6c161fe71d5","70001","11000019"
"9ee9a31a-3015-4ae1-a4f8-f72a4d3a7b73","70004","11000020"
"c0858c3a-190e-4cab-ab51-4ddc33b2759d","70004","11000021"
"591d9896-4622-4770-8d19-3d64eeff3b5f","70005","11000022"
"d7742418-8100-4763-9148-72d8479b5a2d","68703","11000023"
"afb4a614-ffe5-4071-8604-fdcaa1ac02a3","68046","11000025"
"bd786046-9142-43ad-bd79-9e7f80b0cf42","68238","11000026"
"adaacd32-356d-4dcb-a192-aadd3837a035","68051","11000027"
"f8e053d8-aee1-4ea7-86b1-584d6b7edbf1","80218","11000028"
"434326ab-7470-48c6-9ef8-0130acb31a87","68115","11000029"
"a18e8b2a-c152-48d7-940b-f9e08ed1a6d7","68601","11000030"
"d79c645a-9dd8-4c7f-81fe-f516f74811a7","68057","11000032"
"2366a135-e916-4ab1-a191-5b9d5c35f7fd","68057","11000033"
"aebadee4-28a9-4667-8af0-d27a709f3974","68020","11000034"
"0dc9a2e5-774d-48b4-ba80-e6f8a514daa4","68200","11000035"
"a9b28ff4-6cf1-46e6-8415-d723c5d719ea","67013","11000036"
"aee1d0ae-3462-47a8-978e-1a403b0deaf8","67031","11000037"
"32eba766-f962-4083-ba74-2df50dde2ba1","80221","11000038"
"91f2cbaf-9e86-402d-821f-56e9ddcf04fe","70703","11000039"
"2a8716a3-3056-4a37-bf8e-8cc3f9f6685e","70703","11000040"
"a87593b5-db16-4f2c-83f1-009b71b20c8c","68037","11000042"
"d913c358-7d36-4854-bff3-7cbf19b0ff02","68150","11000044"
"64a031b1-83be-43cf-9c53-e013c35f2143","48033","11000045"
"91299e0a-b617-4db6-afa7-bea58e786e9f","68070","11000047"
"e2c2e322-9347-4ad5-bea3-2b79da2e3afd","68100","11000048"
"af635c3a-2062-4623-b0df-7174037df841","68125","11000049"
"1855b909-15f4-4c29-a0da-eb3a66720b43","65216","11000051"
"7d5477ed-d789-4314-8644-35b9b63dac61","76503","11000052"
"5da7bbb5-ed6a-4800-a7d5-71ad277e899a","68130","11000053"
"597536de-f3c2-4d3a-bdcb-24834f36236b","68023","11000054"
"3a15cf9c-0003-4138-8853-60cd51893dc3","68070","11000055"
"e0150aa2-f0ce-49c6-ade3-ca66279f7e17","72119","11000056"
"4220c19b-3bae-4199-bbc7-abd0bac10ef2","88502","11000057"
"3edbbb0b-1b77-4cc5-aa28-c9efa54f758a","88616","11000058"
"3cdeac03-15ef-487e-8a50-9156dafd9fff","88812","11000060"
"a1140f37-511d-4c7f-8e80-779233aca0d2","88812","11000061"
"ce2671cb-7a02-4fd4-9012-ad47c82eec17","83018","11000062"
"4f85c15e-d818-4836-8883-513857287ed5","68103","11000064"
"58d49a52-9cb4-4fb5-8d0a-a90d5b8dff31","67036","11000065"
"46bcd10a-afbc-4b2d-91bb-f8b16b7ab340","68058","11000066"
"99c77d41-ed99-4c4d-b0ce-110c4d5cac1d","68002","11000068"
"80c70713-8744-47d4-a0e1-370d96de5ef2","72114","11000071"
"50576d93-6a8d-45f1-98ad-69ce4238e63b","68010","11000073"
"bec1d018-6fee-4e45-8097-08b26d272a74","72122","11000075"
"60bb21a5-24ca-42ad-88f1-69b3eb8f442b","82103","11000076"
"39f76c04-74be-47d4-bf5a-f542652e522f","53401","11000077"
"b68a8bf1-1d66-4e29-badd-569fd299d8c8","90406","11000078"
"7f94e881-9440-4789-bd19-e96e2f1b92c5","72122","11000079"
"d196a2ef-6d79-455d-90b8-8a7dbfb2327c","88808","11000080"
"db5933d9-de58-46c5-ada9-1c4d7a13829d","15044","11000081"
"d8f60a0a-e4d3-47aa-b574-6a207eb9ef7f","72120","11000083"
"6925d8cd-4dce-4261-961b-ded6d460c502","72115","11000085"
"b5e8202d-f747-4ab9-bdce-7cc408b22d4a","68053","11000087"
"7bbf08fd-4751-428c-af26-1baecedcdf1a","72115","11000088"
"9a223690-5856-497e-bd25-944f3f66c3ae","72117","11000089"
"a9391a73-c186-486d-9a88-8e4f7ede3d24","72012","11000090"
"3b8eb81b-645f-417e-b7c3-087cee200282","68012","11000091"
"4d9be3ba-bfed-4b1b-bf15-f63df4e195e8","68010","11000092"
"a15a5eea-aa60-4409-b78d-97cd4af05f6d","72004","11000093"
"211b1fac-5f8c-4713-821d-e4ca88c3e9c2","72122","11000096"
"52d32723-49a9-46b1-92bb-d9933b4f0aba","68001","11000097"
"05995a14-8eea-4af1-8706-8267b32e6a6e","68076","11000098"
"21ec5082-661d-4c83-92b4-1a33f97b9421","72114","11000099"
"28b6d84a-1c4c-477d-85cf-426de9be41c8","72114","11000100"
"2b77d259-086f-482d-8834-afc196e82070","72120","11000103"
"29860692-ca80-47e1-86f4-e2cf2e5f5b77","68010","11000104"
"546c1c64-a88a-4cc3-8892-b97dfb4e1077","72125","11000105"
"a090b0b0-9fa0-4440-b080-d0635a44e45d","72125","11000106"
"abdfc7a2-83dd-459f-93c4-0c9ba6d1b265","68098","11000107"
"65689219-7671-4b9c-b454-1623a688ed6c","72125","11000108"
"44b23ab9-3827-492f-a37d-b7f5b401b401","67036","11000109"
"ea1e43db-022a-407b-9de2-3ede682b4452","36606","11000110"
"31b52f37-7847-4cfa-8edf-f9d816c0c426","67036","11000111"
"5f65b2fd-fdf3-4e60-9af5-868fcb5640f4","68104","11000113"
"02665835-ac9b-4f72-b25d-092f65465964","72115","11000114"
"7569af19-c00d-46ad-b4a9-b640919e8b1e","68104","11000115"
"0eebd17c-d334-4712-aa9f-970c99aae39d","68104","11000116"
"31decf4a-3ca9-4039-839e-7a3b1d8d9bb4","68104","11000117"
"b4265c80-c359-47f9-923e-cbe2af4bfcc8","72004","11000118"
"739b3ddf-0017-4628-bcc6-4d026e60e8a4","72009","11000119"
"7763fc8e-f5c1-4576-b808-6b6d387ab2c0","72002","11000121"
"2c11cc92-8f33-4056-8fa6-96e9c1cf0652","83401","11000127"
"f87a5221-8b96-4a13-9bf5-fae919ff9acd","68010","11000128"
"9ce83a19-899f-45ec-b6ae-9c86072db842","88621","11000129"
"146f60bf-834b-400c-881a-825846c2c649","72004","11000130"
"66c8b7e7-0e3b-4c11-942b-5a54fbf432e6","68104","11000131"
"bedc9878-2e06-4753-af4e-4a267f497b1d","72003","11000132"
"7189e830-b2a8-4825-9164-e62f2b3418f5","72000","11000133"
"567fde58-8d5e-4b06-95bd-16770fe4392d","68002","11000135"
"079f1146-f6ef-4e92-a267-8167f1385d0d","72000","11000136"
"7fbb883b-9b99-4fee-b397-b1d11f705d4c","72115","11000140"
"041a9018-f0bf-426f-9984-0bb07acae9e3","70912","11000143"
"14d1e461-5afa-477b-a932-0f797455da08","83201","11000144"
"f7d14fcc-ca93-464f-8fae-0784186b35bd","83118","11000145"
"f3faedf3-744e-425b-a27b-6990d4c3a7ab","72500","11000146"
"12462073-9be0-4143-8d03-9bb0dc2fc831","72500","11000147"
"01da97aa-f374-432a-bc97-0e341f870bc7","68060","11000148"
"4c8daf65-d858-4022-9377-daef30f37d0c","65102","11000150"
"fef30568-a4b9-4904-8751-f84931cf9c09","88801","11000151"
"b1858d31-cf5e-4ae9-bb7d-e47045951883","88621","11000155"
"dd6d40c7-c6c2-4d0f-9cab-387fb61bc803","68058","11000156"
"2051a0c1-15aa-4459-a787-08daea16d8de","67101","11000158"
"757e65ff-c851-4f09-8ceb-28c1ce76b8c8","68058","11000159"
"ee7c014b-180c-40dc-b600-56d25094982f","72122","11000161"
"9536c6cc-17bf-4dd5-8c02-6039afcc37cc","83201","11000162"
"90343358-be45-442e-8796-fb414184938f","67014","11000163"
"f67c0eaf-693c-4b68-8316-3b08f7a84867","69230","11000164"
"1be6fa6b-51b9-4d7b-b0c8-a8a133d105df","68058","11000165"
"746dac83-16b1-4aee-903e-548a58858ca6","68058","11000166"
"4c27f91a-c733-4cd6-8639-fe72ff998d16","72215","11000167"
"fe8b59f5-9008-4c52-95c9-222ae86cff23","94330","11000168"
"ea360a8d-41f6-4b8d-950a-a19606a0639c","83201","11000170"
"a51f82ee-1425-4c20-8647-01e9ee1a7e3d","83401","11000171"
"db56fc6d-0961-474f-ba62-f9712ce4e659","89604","11000172"
"20ad44cb-2205-4e82-8cfe-b047f706d0f1","70703","11000173"
"4dc1cbec-bde1-40ea-819b-f1f6c4f271b1","68058","11000174"
"ad6ccc87-c147-43b0-86b9-67b3f62c35f4","89604","11000175"
"7bfcb8f2-3736-4e71-b7c5-369778dcccb0","70702","11000176"
"05120c0e-254e-4d57-806b-85bedc3c4f0c","68148","11000178"
"f7f2c924-3479-443e-bb47-ca437b326521","68015","11000179"
"1967ae38-ca6e-4a79-8c7d-85c50fd243cc","70702","11000180"
"a3b5c6a8-e98d-466d-9237-5ab8ac98aa5c","68079","11000182"
"2c21646e-29bb-4945-a00c-be0d4766e51d","68079","11000183"
"3ae78e10-1973-461c-b91d-cae078e94fc0","72112","11000184"
"f7cddf2e-c057-4a10-975a-a035989341de","60918","11000187"
"bb12981e-d7d9-4073-b979-088bd2eb23d1","68058","11000188"
"57224702-edca-432d-b917-e96ac07b3589","72504","11000189"
"68b6065c-d3a4-4705-a757-f8d87a839f06","83401","11000191"
"674d21a5-ac52-477c-8c1c-ce83df15d6ac","94330","11000192"
