id,x28_code,avam_code,code
dc865293-74db-4dc4-a256-2ee2c3a82793,11000497,68326,33203060
5b8c5c81-f6b3-4a35-9d6b-a23735442a1a,11000498,89809,46108031
a6447e3f-4f52-4c58-b348-4391fcc2aa33,11000499,68023,33202004
ff13266e-3ea5-4344-b2fa-b9b6feaad23f,11000500,86413,42506003
e0b404e6-9ffd-4a4c-8056-6f45c64c95f7,11000501,89809,46108031
e4eeff87-e7ec-4716-a396-bb722c5ea413,11000502,70907,31108049
6a8b302c-a812-4669-9be3-273ff783cd6f,11000503,86004,42501001
8f35c0fc-b9dc-4406-a5c6-14f21e219f92,11000504,92816,44605018
eb103930-3406-45e6-9987-09f630a2bf3b,11000505,92507,44602014
7e8f30e4-6931-45f6-9bb6-2544802080ac,11000506,85802,42203007
711154d6-75bb-47e2-9c64-e760c9639911,11000507,86700,42208002
abcab351-9163-4bd2-9a31-59123c3d8bd1,11000508,85009,42203010
45da3b8a-8a71-47b9-b402-7681fa03f1d7,11000509,61010,45305023
55d21bca-600b-4c9f-aa3b-8269f178d4fa,11000510,85029,42101093
a59c54d2-28f3-4801-a66d-c637dc1eed03,11000511,86438,42504058
37f4608e-1105-4b8e-a234-015e39c3554e,11000512,86408,42504006
5ca4a768-f609-4d87-93b7-fa2d2dc0da8e,11000514,79802,42502002
9560b609-bf3e-4b59-b0be-a12501d8ba71,11000515,89306,45103006
e099061a-0b30-4dac-8ccf-e04f86bb3485,11000516,85818,42203016
f84b86f2-1930-4e5f-94c9-a2f818d0c86f,11000517,93314,43102003
8dc75bf5-5cd1-4cf5-b1ef-38c1b7e5edc0,11000518,68326,33203060
de059212-9a63-4535-ac67-5609094a8e35,11000519,89808,45201031
1098961c-41b1-4b8d-b7ad-ed7689a3b034,11000520,89314,45103021
f19aec01-5b64-4c81-8706-3c91314d0f49,11000522,72012,32102018
cf46a889-6a79-483f-83e2-4655ef6cf79a,11000523,86423,42507008
998f3725-692e-4565-ba82-cabbff98b3dd,11000524,54104,42302002
44d71ac6-f28b-4c21-aeab-89d3c12249f3,11000525,92504,44602021
c46517fb-796b-4160-be13-c29bbcef4eaa,11000526,85903,42205002
b53c21a0-4b38-4564-ab7e-c3d1a25603bb,11000527,70907,31108049
0ffa6dd3-3a32-4d9f-bed2-12a7c4097096,11000528,70907,31108049
da604ec4-dad0-440a-ac8f-b4cab794455e,11000529,68088,47101005
2681fc8f-7de7-4fa9-abc3-b77b58c64092,11000531,70510,37202011
