JOB_CENTER_ID                       , NAME                                                                                       , CITY                       , STREET                          , HOUSE_NUMBER, ZIP_CODE, LANGUAGE
10290044-7c87-476e-8618-240e9f6cf660, RAV Olten Vermittlung                                                                      , Olten                      , Solothurnerstr.                 , 121         , 4600    , fr
10290044-7c87-476e-8618-240e9f6cf660, RAV Olten Vermittlung                                                                      , Olten                      , Solothurnerstr.                 , 121         , 4600    , it
050040c0-5453-4470-b93f-a5a444280778, RAV Solothurn KGB                                                                          , Soletta                    , Sandmattstrasse                 , 2           , 4500    , it
050040c0-5453-4470-b93f-a5a444280778, RAV Solothurn KGB                                                                          , Soleure                    , Sandmattstrasse                 , 2           , 4500    , fr
050040c0-5453-4470-b93f-a5a444280778, RAV Solothurn KGB                                                                          , Solothurn                  , Sandmattstrasse                 , 2           , 4500    , de
0570bab9-904a-43a1-b08a-88f152136397, "Beschäftigungswerkstätte
(Jobclub)"                                                       , Olten                      , Aarburgerstrasse                , 138         , 4600    , it
0570bab9-904a-43a1-b08a-88f152136397, "Beschäftigungswerkstätte
(Jobclub)"                                                       , Olten                      , Aarburgerstrasse                , 138         , 4600    , fr
0570bab9-904a-43a1-b08a-88f152136397, "Beschäftigungswerkstätte
(Jobclub)"                                                       , Olten                      , Aarburgerstrasse                , 138         , 4600    , de
1d593b60-cba3-4ae8-afdd-faf8c0ad7eb4, "Amt für Wirtschaft und Arbeit
des Kantons Solothurn"                                      , Solettta                   , Untere Sternengasse             , 2           , 4509    , it
1d593b60-cba3-4ae8-afdd-faf8c0ad7eb4, "Amt für Wirtschaft und Arbeit
des Kantons Solothurn"                                      , Solothurn                  , Untere Sternengasse             , 2           , 4509    , de
1d593b60-cba3-4ae8-afdd-faf8c0ad7eb4, "Amt für Wirtschaft und Arbeit
des Kantons Solothurn"                                      , Soleure                    , Untere Sternengasse             , 2           , 4509    , fr
cb193546-da12-4c5d-a51e-d7ecd83cfb1c, RAV Solothurn                                                                              , Soletta                    , Sandmattstrasse                 , 2           , 4500    , it
cb193546-da12-4c5d-a51e-d7ecd83cfb1c, RAV Solothurn                                                                              , Soleure                    , Sandmattstrasse                 , 2           , 4500    , fr
cb193546-da12-4c5d-a51e-d7ecd83cfb1c, RAV Solothurn                                                                              , Solothurn                  , Sandmattstrasse                 , 2           , 4500    , de
406b021f-61b6-4947-a3ac-245a4df3d81c, RAV Olten                                                                                  , Olten                      , Solothurnerstr.                 , 121         , 4600    , it
406b021f-61b6-4947-a3ac-245a4df3d81c, RAV Olten                                                                                  , Olten                      , Solothurnerstr.                 , 121         , 4600    , fr
406b021f-61b6-4947-a3ac-245a4df3d81c, RAV Olten                                                                                  , Olten                      , Solothurnerstr.                 , 121         , 4600    , de
7a3f1f02-1445-4849-9fa8-10afa22d1157, RAV Plus Solothurn                                                                         , Solothurn                  , Rathausgasse                    , 16          , 4509    , de
7a3f1f02-1445-4849-9fa8-10afa22d1157, RAV Plus Solothurn                                                                         , Soleure                    , Rathausgasse                    , 16          , 4509    , fr
7a3f1f02-1445-4849-9fa8-10afa22d1157, RAV Plus Solothurn                                                                         , Solettta                   , Rathausgasse                    , 16          , 4509    , it
aff9b449-422f-4137-81f2-da19cf6556d2, Postfach 1181                                                                              , Schwyz                     , Lückenstrasse                   , 8           , 6431    , fr
aff9b449-422f-4137-81f2-da19cf6556d2, Amt für Arbeit                                                                             , Schwyz                     , Lückenstrasse                   , 8           , 6431    , de
aff9b449-422f-4137-81f2-da19cf6556d2, SZA10                                                                                      , Schwyz                     , Lückenstrasse                   , 8           , 6431    , it
23ac1b50-b3ce-4c47-a2cc-c31194ca5534, RAV Goldau                                                                                 , Goldau                     , Bahnhofstrasse                  , 8           , 6410    , de
23ac1b50-b3ce-4c47-a2cc-c31194ca5534, RAV Goldau                                                                                 , Goldau                     , Bahnhofstrasse                  , 8           , 6410    , fr
