"ID","BFS_CODE","ISCO_CODE"
8f735526-8607-4084-a7f8-990cb73d997e,22103073,8154
43fd4cd2-211e-49ea-b8d9-7a2d578db425,22103074,8154
873bd549-e770-49ec-adb4-cc3332a12fd4,22103075,8154
f773dc8d-f662-4eef-945c-ea0d3b16ad82,22103076,8154
f729404f-6b9c-474a-9cfc-6c0d91c3a1ed,22103077,8154
7a9c2eae-2fc2-4aea-bd1c-19bef0d19a3e,22103078,8154
b4da0b3c-adf9-476c-be51-09e0c79d19b4,22103079,8154
7e26664f-39dd-4285-b8f4-f1467ee453b8,22103080,815
8fb24348-de0a-4c69-beeb-0b39a2feb29c,22103081,8154
4fd7d477-038f-47d3-984b-9c0a7abf0efd,22103082,8154
7c29acd5-b9f0-4419-89dc-2d5c41bcd913,22103083,8154
af100379-29e0-404d-b474-910971feaa00,22103084,8154
9c4c23b6-407b-48d1-8032-64973c68c9f0,22103085,8154
722e256d-26ea-4f58-9824-1859550074f7,22103086,8154
98ad8aec-f707-4b44-a00f-be0f6e81a88a,22103087,8154
80513b78-77c9-45b1-b11f-12b44bf1c7e9,22103088,8154
6d2ea2c2-d219-46b0-95fe-978ab96ea849,22103089,8154
9c5dc965-0ec3-42c0-b901-612a63860e9b,22103090,8154
5e4f12a1-a966-4323-b1f6-133bf41aa1fc,22103091,8154
c87f2eb6-fa95-4c2d-b502-8c2f79ac69e1,22103092,8154
46cc14fb-2f48-4826-aae1-b250761c0ebd,22103093,8154
67f987a5-255f-4739-891e-4178deb44e29,22103094,8154
d1e660f9-46bc-4b14-847c-37dea0083074,22103095,8154
01076ba8-e250-4dfe-b290-98aea0d66738,22103096,8154
9d381d5d-25a7-466b-b74c-0e25848d70f7,22103097,8154
81b05086-d8c7-4fce-b06e-7394ca155e06,22103098,8154
a2c0c1f3-5cef-4931-85a2-ce747e267012,22103099,8154
6153eed8-e98f-4975-aaba-deefd1d932d3,22103100,8154
cddef195-c496-4b50-aa02-65b4a6e72b59,22103101,8154
c4c8c956-f851-457a-8637-89099d049f34,22103102,8154
54df6e13-3e4e-4060-a3b2-0a2dec310d16,22103103,8154
23abbaa2-8d66-4689-a357-0ae5fffda62b,22103104,8154
89765c5d-0e51-4903-b83e-c1e792225138,22103105,8154
f81389b9-a1d7-478f-81b2-f9e7cd988d11,22103106,8154
d62f8815-53ce-4dda-bfb7-9a3f05ef2aec,22103107,8154
9b495edd-fc6d-4b40-9ca5-5ebb78b66424,22103108,8154
6e906922-89c5-4044-bdad-88f7a73eab2b,22103109,8154
a100d37e-66a1-4771-a724-746450e28aee,22103110,8154
91503117-231c-46d3-abb1-312ae3fde727,22103111,8154
0e1e2f46-1fac-4c51-b893-e647e9f072d8,22103112,8154
294fb704-8547-47d1-ad1b-10757f1b6a4d,22103113,8154
f1cb5e37-e854-440a-9f79-b884d2030d8b,22103114,8154
69958481-5901-45d8-a8e5-8dd8af381af9,22103115,8154
e381e094-176c-4f0b-82b4-6f3b75756204,22103116,8154
45c64705-dcd8-4898-92f3-0f4a9e4817fb,22103117,8154
e0dc79ef-a005-4848-8926-935a8191e1aa,22103118,8154
81554e45-9c4d-4457-98e3-cfd4c7692fab,22103119,8154
6d14bf96-3cce-4054-b7e3-df1bd4884c6e,22103120,8154
e860e089-a7cc-4204-9d46-c50e90c3e19d,22103121,8154
3dae494f-cc14-4bff-ac06-c69caf832712,22103122,8154
7d6157af-86c8-4183-96f0-9c3124dc6e74,22103123,8154
9c4a9ceb-6180-4628-848a-5813c9cc55e3,22103124,8154
22e184e4-70b0-4398-9ee5-e55a4430b10f,22103125,8154
17a31c05-6c2d-4160-a7b8-257ff2b5d17e,22103126,8154
3daf47fb-1f1a-43d3-969c-6c206b55d01d,22103127,3122
92a2cfb8-e5fe-4962-aa91-3cfed061a4af,22103128,8154
a14f7f30-422c-4c17-b468-0e660f1728d1,22103129,8154
16ff79c7-d62c-4cf8-bcda-0cfea1c5fad1,22103130,8154
9cf21caf-b30c-4936-a740-08ebe994d76b,22103131,8154
d1850300-62a1-4f0f-b253-cc31f2d9fed7,22103132,8154
eed20602-54d8-409f-9e51-2589ab7d71bd,22103133,8154
e7b081f9-26a4-4ff2-842a-5539f247f1ee,22103134,8154
fda3d6a0-989b-4684-8df5-55537c347d2e,22103135,8154
30206081-26ff-4dcc-83bd-630b99b23ae8,22103136,8154
23d388ff-80aa-4b2a-8d26-b7bbd402fb20,22103137,8154
3cd4de8f-0f14-4454-8b80-1f16e576572c,22103138,8154
